transaction_id,user_id,city,transaction_date,amount,payment_app,transaction_type,device_type,is_fraud
TXN100000,USER8270,Bangalore,2024-12-14 21:20:20,339.25,Amazon Pay,P2M,iOS,0
TXN100001,USER5426,Chennai,2024-03-28 12:15:31,308.32,BHIM,Recharge,Android,0
TXN100002,USER1769,Pune,2024-12-09 17:29:15,5579.15,Amazon Pay,P2P,iOS,0
TXN100003,USER6051,Chennai,2024-10-03 23:05:04,725.51,Google Pay,Recharge,Web,0
TXN100004,USER9666,Kolkata,2024-02-28 23:27:58,300.47,Amazon Pay,Bill Payment,iOS,0
TXN100005,USER1189,Lucknow,2024-06-23 09:56:13,445.47,Google Pay,P2M,Web,0
TXN100006,USER2528,Lucknow,2024-05-10 19:11:32,1870.67,Google Pay,P2M,Web,0
TXN100007,USER6393,Delhi,2024-03-29 20:32:49,973.62,BHIM,Recharge,Android,0
TXN100008,USER8041,Hyderabad,2024-12-05 06:31:23,260.3,PhonePe,Bill Payment,Android,0
TXN100009,USER9226,Mumbai,2024-07-24 09:58:40,598.92,PhonePe,P2M,Web,0
TXN100010,USER4073,Mumbai,2024-02-23 21:55:53,1677.27,Google Pay,P2P,iOS,0
TXN100011,USER7873,Mumbai,2024-02-13 18:14:57,1005.55,Amazon Pay,Bill Payment,Android,0
TXN100012,USER8629,Bangalore,2024-08-02 00:16:56,6497.23,PhonePe,Recharge,iOS,0
TXN100013,USER8916,Lucknow,2024-12-03 22:59:58,3529.12,Amazon Pay,Bill Payment,Android,0
TXN100014,USER5859,Chennai,2024-07-06 02:22:51,645.93,Amazon Pay,P2M,Web,0
TXN100015,USER1064,Mumbai,2024-12-10 11:19:34,1101.22,Amazon Pay,P2P,Android,0
TXN100016,USER3695,Bangalore,2024-03-03 01:27:38,443.4,Google Pay,Bill Payment,Web,0
TXN100017,USER6892,Hyderabad,2024-08-18 17:55:05,246.3,Google Pay,P2P,Web,0
TXN100018,USER4104,Pune,2024-02-17 09:47:02,2210.31,Google Pay,P2P,Android,0
TXN100019,USER3731,Chennai,2024-12-25 03:02:45,4364.5,Paytm,P2M,iOS,0
TXN100020,USER9110,Bangalore,2024-05-10 14:43:12,2558.32,PhonePe,P2P,iOS,0
TXN100021,USER7938,Ahmedabad,2024-07-25 06:30:19,228.33,PhonePe,Recharge,Android,0
TXN100022,USER3790,Chennai,2024-08-28 15:04:28,1420.87,Google Pay,Recharge,Web,0
TXN100023,USER8574,Ahmedabad,2024-08-18 15:34:04,1552.37,Paytm,P2P,iOS,0
TXN100024,USER7668,Jaipur,2024-06-08 22:42:14,684.28,BHIM,P2P,Android,0
TXN100025,USER3693,Delhi,2024-10-10 19:12:43,1077.46,Amazon Pay,P2P,Android,0
TXN100026,USER2663,Pune,2024-12-13 06:06:16,765.46,Google Pay,Bill Payment,Web,0
TXN100027,USER2306,Mumbai,2024-04-30 15:16:56,727.06,Amazon Pay,P2M,iOS,0
TXN100028,USER6530,Ahmedabad,2024-05-16 01:02:28,2358.14,Google Pay,P2M,Android,0
TXN100029,USER1663,Lucknow,2024-11-10 16:58:07,1462.91,Google Pay,P2P,Android,0
TXN100030,USER6232,Jaipur,2024-11-13 12:56:16,585.83,Paytm,Bill Payment,Android,0
TXN100031,USER8554,Lucknow,2024-04-22 18:39:32,670.5,BHIM,P2M,iOS,0
TXN100032,USER5737,Delhi,2024-08-07 00:14:14,653.25,Amazon Pay,Bill Payment,Web,0
TXN100033,USER6249,Jaipur,2024-02-22 14:07:39,1187.63,Google Pay,P2P,Android,0
TXN100034,USER5931,Chennai,2024-07-21 03:31:28,2605.5,PhonePe,P2M,iOS,0
TXN100035,USER3931,Kolkata,2024-04-07 18:15:33,1017.74,BHIM,P2M,Android,0
TXN100036,USER7287,Bangalore,2024-04-06 11:41:47,1419.36,PhonePe,Bill Payment,Web,0
TXN100037,USER1659,Chennai,2024-09-08 15:37:30,497.54,Google Pay,P2M,Web,0
TXN100038,USER9338,Hyderabad,2024-05-27 00:48:31,202.24,PhonePe,Bill Payment,Web,1
TXN100039,USER2959,Delhi,2024-05-07 03:05:11,295.89,BHIM,Recharge,iOS,0
TXN100040,USER7616,Bangalore,2024-05-30 06:05:18,4196.67,BHIM,Recharge,iOS,0
TXN100041,USER7287,Hyderabad,2024-12-11 04:32:51,1508.56,Paytm,P2P,iOS,0
TXN100042,USER6423,Mumbai,2024-09-10 05:48:52,4613.55,Google Pay,Recharge,Web,0
TXN100043,USER8400,Delhi,2024-04-08 11:50:42,2588.93,Google Pay,P2M,Android,0
TXN100044,USER7295,Kolkata,2024-02-23 16:24:00,2054.62,BHIM,P2P,Android,0
TXN100045,USER6539,Delhi,2024-04-13 17:01:07,1738.27,PhonePe,P2P,Web,0
TXN100046,USER6592,Hyderabad,2024-04-08 00:36:40,10.15,Amazon Pay,P2M,Android,0
TXN100047,USER5433,Bangalore,2024-07-12 00:47:49,1189.95,Paytm,P2P,Web,1
TXN100048,USER9352,Hyderabad,2024-03-08 06:28:48,1362.02,Google Pay,Bill Payment,iOS,0
TXN100049,USER7015,Bangalore,2024-05-14 19:31:11,1680.09,PhonePe,P2M,iOS,0
TXN100050,USER9050,Chennai,2024-01-22 01:54:53,1782.57,Amazon Pay,P2M,iOS,1
TXN100051,USER9754,Delhi,2024-09-20 05:28:58,1139.72,Paytm,Recharge,iOS,0
TXN100052,USER8022,Kolkata,2024-11-12 20:42:23,659.15,BHIM,P2M,Web,0
TXN100053,USER8679,Hyderabad,2024-01-17 15:41:31,5642.17,Amazon Pay,Bill Payment,iOS,0
TXN100054,USER4444,Delhi,2024-01-06 13:06:42,2754.42,Google Pay,Recharge,Web,0
TXN100055,USER4420,Ahmedabad,2024-10-28 12:33:56,1698.63,PhonePe,P2P,iOS,1
TXN100056,USER1190,Pune,2024-09-09 01:41:42,625.25,BHIM,Bill Payment,Web,0
TXN100057,USER2816,Bangalore,2024-08-10 06:24:53,2381.65,Paytm,P2P,iOS,0
TXN100058,USER4863,Jaipur,2024-04-23 20:16:31,2224.27,Google Pay,Recharge,Web,0
TXN100059,USER8806,Hyderabad,2024-06-03 02:58:49,4197.22,PhonePe,Recharge,Web,0
TXN100060,USER9096,Lucknow,2024-10-25 21:41:09,890.98,Google Pay,Recharge,Android,0
TXN100061,USER3806,Pune,2024-01-26 14:09:53,4035.9,Google Pay,P2P,Android,0
